Title,URL
1M Users (spacehey.com),https://blog.spacehey.com/entry?id=1245177
"How the Oldest Company in the World Survived Nearly 1,500 Years (openculture.com)",https://www.openculture.com/2024/08/how-the-oldest-company-in-the-world-has-survived-nearly-1500-years.html
Extreme Pi Boot Optimization (kittenlabs.de),https://kittenlabs.de/blog/2024/09/01/extreme-pi-boot-optimization/
Vampires and Arithmomania (oddathenaeum.com),https://oddathenaeum.com/vampires-arithmomania/
Tbsp – treesitter-based source processing language (peppe.rs),https://git.peppe.rs/languages/tbsp/
Ashby (YC W19) Is Hiring Engineers Who Can Design (ashbyhq.com),https://www.ashbyhq.com/careers?utm_source=hn&ashby_jid=0b7a2d09-b3ee-4181-a1df-be1ea3fff54e
"OrbStack: The fast, light, and easy way to run Docker containers and Linux (orbstack.dev)",https://orbstack.dev/
Programming Zero Knowledge Proofs: From Zero to Hero (zkintro.com),https://zkintro.com/articles/programming-zkps-from-zero-to-hero
The Pentium as a Navajo Weaving (righto.com),https://www.righto.com/2024/08/pentium-navajo-fairchild-shiprock.html
'Amazing' Viking-age treasure travelled half the world to Scotland (theguardian.com),https://www.theguardian.com/science/article/2024/sep/01/amazing-viking-age-treasure-travelled-half-the-world-to-scotland-analysis-finds
Parsing Awk Is Tricky (raygard.net),https://www.raygard.net/awkdoc/pages/awk_parsing_is_tricky.html
Authenticated Boot and Disk Encryption on Linux (0pointer.net),https://0pointer.net/blog/authenticated-boot-and-disk-encryption-on-linux.html
The vagus nerve orchestrates the mind-body connection (quantamagazine.org),https://www.quantamagazine.org/how-our-longest-nerve-orchestrates-the-mind-body-connection-20240826/
Inductive or Deductive? Rethinking the Fundamental Reasoning Abilities of LLMs (arxiv.org),https://arxiv.org/abs/2408.00114
We can now watch Grace Hopper's famed 1982 lecture on YouTube (arstechnica.com),https://arstechnica.com/science/2024/08/we-can-now-watch-grace-hoppers-famed-1982-lecture-on-youtube/
"Dublin Core, what is it good for? (thisdaysportion.com)",https://www.thisdaysportion.com/posts/dublin-core-what-is-it-good-for
Ask HN: Where to find domain experts for 1:1 tutoring?,https://news.ycombinator.com/item?id=41384590
Using the moiré effect to show different arrows to each observer (2018) (popularmechanics.com),https://www.popularmechanics.com/technology/infrastructure/a19091534/inogon-leading-mark-moire-effect-light/
Founder Mode (paulgraham.com),https://paulgraham.com/foundermode.html
What we can learn from vintage computing (github.com/readme),https://github.com/readme/featured/vintage-computing
Forensic toxicology backdates the use of coca plant in Europe to the early 1600s (sciencedirect.com),https://www.sciencedirect.com/science/article/pii/S0305440324001080
Ask HN: How to store and share passwords in a company?,https://news.ycombinator.com/item?id=41417659
Postgres Webhooks with Pgstream (xata.io),https://xata.io/blog/postgres-webhooks-with-pgstream
"Show HN: Linkpreview, see how your sites looks in social media and chat apps (linkpreview.xyz)",https://linkpreview.xyz/
"The web's clipboard, and how it stores data of different types (alexharri.com)",https://alexharri.com/blog/clipboard
"In This Beautiful Library, Bats Guard the Books (atlasobscura.com)",https://www.atlasobscura.com/articles/library-bats-coimbra-wild-life-excerpt
Escaping from Anaconda's Stranglehold on macOS (paulromer.net),https://paulromer.net/escaping-from-anaconda/
Timeseries Indexing at Scale (krylysov.com),https://artem.krylysov.com/blog/2024/06/28/timeseries-indexing-at-scale/
Random Values in Pointers (philpearl.github.io),https://philpearl.github.io/post/dumb_ways_to_die_random_pointers/
"Meta data center electricity consumption hits 14,975GWh (datacenterdynamics.com)",https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/
